Código,Nome,Preço,@Imagem
"258221,BERLOQUE PRATA 925 PINCEL COM PALETA DE CORES,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258221-1.jpg"
"258237,BERLOQUE PRATA 925 TESOURA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258237-1.jpg"
"258237,BERLOQUE PRATA 925 TESOURA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258237-3.jpg"
"258237,BERLOQUE PRATA 925 TESOURA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258237-5.jpg"
"258250,BERLOQUE PRATA 925 ARARA,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258250-1.jpg"
"258259,BERLOQUE PRATA 925 CORAÇÃO CRAVEJADO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258259-1.jpg"
"258259,BERLOQUE PRATA 925 CORAÇÃO CRAVEJADO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258259-3.jpg"
"258259,BERLOQUE PRATA 925 CORAÇÃO CRAVEJADO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258259-5.jpg"
"258263,BERLOQUE PRATA 925 CORAÇÃO PATA DE CACHORRO E OSSO,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258263-1.jpg"
"258263,BERLOQUE PRATA 925 CORAÇÃO PATA DE CACHORRO E OSSO,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258263-3.jpg"
